# iterator, reward, timestamp 
1,-87.20086873321661,1625947611.2289083
2,-54.105130280956665,1625947614.3125358
3,-138.28050992521943,1625947617.4211183
4,-117.3027974137342,1625947620.5420926
5,-143.95834767680932,1625947623.6627963
6,-117.87482146272258,1625947626.8663
7,-38.14533986521819,1625947629.9027371
8,-42.94682854098347,1625947633.5301604
9,-37.06255139112149,1625947635.9412277
10,-108.84733790931507,1625947639.0501482
11,-120.49301795379621,1625947643.1724887
12,-131.85292163423043,1625947646.3158932
13,-41.31936979670355,1625947649.4730182
14,-66.86557766373078,1625947652.630154
15,-34.11621838481192,1625947655.7121115
16,-125.41557453022341,1625947659.8467877
17,-138.25212191891492,1625947662.8421197
18,-39.45042428060647,1625947665.9921987
19,-53.46635611098703,1625947669.1122375
20,-129.47124097360634,1625947674.223353
21,-54.214512667284374,1625947677.3740754
22,-82.27087274174717,1625947680.3484876
23,-103.26989772265146,1625947683.524632
24,-123.55849036552148,1625947687.525684
25,-119.53715552344728,1625947691.6453514
26,-78.92352081520697,1625947694.7400641
27,-72.42553065436736,1625947697.7498207
28,-135.93552649089497,1625947702.8838336
29,-74.4100704108047,1625947705.977029
30,-78.7412806923016,1625947709.1172285
31,-46.09575149506073,1625947712.0921783
32,-63.864209085612764,1625947715.2414143
33,-122.2446941240673,1625947718.3335457
34,-57.23731968748576,1625947721.438169
35,-119.9508595117033,1625947724.5442123
36,-97.90832335290311,1625947727.648636
37,-87.83719634904209,1625947730.7557154
38,-70.12503523206495,1625947733.8596945
39,-120.84740964328917,1625947736.9662716
40,-126.40423727813972,1625947740.984258
41,-32.02637007623151,1625947744.0810184
42,-45.76161219312043,1625947747.199757
43,-138.11937362439397,1625947751.3101225
44,-133.81491424013117,1625947754.4176152
45,-151.40975091679397,1625947757.5256495
46,-125.70446629363735,1625947760.6281812
47,-64.24690567085686,1625947763.739722
48,-124.01151994348893,1625947766.8443723
49,-183.53082728000308,1625947769.8647344
50,-94.32844590153331,1625947772.9635365
51,-83.26582687189175,1625947776.0664978
52,-31.935481817910183,1625947779.5362475
53,-28.47402133019663,1625947782.2813094
54,-57.60194780724115,1625947785.3385916
55,-160.05430320013906,1625947788.6721568
56,-278.52579802606425,1625947792.0201087
57,-62.1617086912778,1625947795.1751432
58,-470.33463025429404,1625947798.4691634
59,-71.54524922470199,1625947801.7986753
60,-148.71959489692676,1625947804.9767628
61,-62.61828634782218,1625947809.1859405
62,-69.40972483911071,1625947812.2012045
63,-43.090279138750766,1625947815.2502773
64,-54.359858717727285,1625947818.3081496
65,-171.57382975690257,1625947821.406028
66,-133.09627982317494,1625947824.5176892
67,-151.2264395014246,1625947827.6138356
